Sprint,Bug ID,Bug Title,Who found,Platform,Functionality,How many times reproduced,Root Cause,Status,Priorities,Severity,Created Date,Changed Date,Time for solve
222,7250,The exception error after deleting the Module from step while editing workflow,QA,AT Portal(dev),Workflow,1,,Closed,3 - Medium,3 - Medium,04.01.2023,24.01.2023,20
222,7251,The exception error after creation of the custom fields,QA,AT Portal(dev),Custom fields,1,"the algorithm of the index generation",Closed,3 - Medium,3 - Medium,04.01.2023,20.01.2023,16
222,7252,The success notification are displayed with duplicates,QA,AT Portal(dev),Settings,1,,Not reproduced,3 - Medium,3 - Medium,04.01.2023,10.01.2023,6
221,7253,SFTP doesn't work for CentOS server,DevOps,OPS(dev),"""Save to package/storage"" stuff on OPS",1,,Closed,3 - Medium,3 - Medium,04.01.2023,10.01.2023,6
223,7254,QC: Throw NoMatchException during Doc generation,Developer,OPS(dev),QC,1,wrong msi name,Closed,3 - Medium,3 - Medium,04.01.2023,06.02.2023,33
221,7285,Echo Repackage doesn`t work,QA,AT Portal(dev),Echo,1,,To Do,3 - Medium,3 - Medium,12.01.2023,14.08.2023,214
-,7286,Issue with Zone files - VMs,Customer(Internal),OPS(prod),VMs,1,,To Do,3 - Medium,3 - Medium,12.01.2023,16.01.2023,4
222,7287,AXA DaaS. The email with credentials is not sent,QA,AXA vDaaS(dev),Create new user,1,,Closed,3 - Medium,3 - Medium,13.01.2023,24.01.2023,11
222,7293,Fix type in email template,Developer,AT Portal(dev),Email,1,,Closed,3 - Medium,3 - Medium,13.01.2023,24.01.2023,11
224,7303,"""Copy project"" does not work",Developer,AT Portal(prod),Copy Project,1,,Not reproduced,3 - Medium,3 - Medium,16.01.2023,06.03.2023,49
222,7304,Deleting of the imported file doesn`t work,QA,AT Portal(dev),Import,1,"QA fault, was not tested this functionality.",Closed,3 - Medium,3 - Medium,16.01.2023,20.01.2023,4
-,7306,The MSIName propertly isn`t filled on the Wrapper Generator,QA,AT Portal(dev),Wrapper Generator,1,,Not reproduced,3 - Medium,3 - Medium,17.01.2023,08.08.2023,203
-,7307,Exception error while uploading/deleting of the Profile Avatar,QA,SSO,Avatar,1,,Not reproduced,3 - Medium,3 - Medium,17.01.2023,08.08.2023,203
